,,,,,,
,-0.003,0,-0.029,,,
,-0.003,0,-0.022,,,
,-0.003,0,-0.026,,,
,-0.003,0,-0.026,,,
,-0.003,0,-0.023,,,
,-0.003,0,-0.023,,,
,-0.003,0,-0.027,,,
,-0.003,0,-0.024,,,
,-0.003,0,-0.024,,,
,-0.003,0,-0.028,,,
,-0.003,0,-0.027,,,
,-0.003,0,-0.022,,,
,-0.003,0,-0.027,,,
,-0.003,0,-0.025,,,
,-0.003,0,-0.029,,,
,-0.003,0,-0.026,,,
,-0.003,0,-0.024,,,
,-0.003,0,-0.024,,,
,-0.003,0,-0.027,,,
,-0.003,0,-0.03,,,
,-0.003,0,-0.029,,,
,-0.003,0,-0.032,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.03,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.024,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.023,,,
,-0.002,0,-0.025,,,
,-0.002,0,-0.032,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.033,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.03,,,
,-0.002,0,-0.033,,,
,-0.002,0,-0.035,,,
,-0.002,0,-0.031,,,
,-0.002,0,-0.026,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.031,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.024,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.025,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.026,,,
,-0.002,0,-0.024,,,
,-0.002,0,-0.031,,,
,-0.002,0,-0.031,,,
,-0.002,0,-0.024,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.028,,,
,-0.002,0,-0.03,,,
,-0.002,0,-0.029,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.027,,,
,-0.002,0,-0.03,,,
,-0.002,0,-0.037,,,
,-0.002,0,-0.034,,,
,-0.003,0,-0.036,,,
,-0.003,0,-0.037,,,
,-0.003,0,-0.044,,,
,-0.003,0,-0.049,,,
,-0.003,0,-0.054,,,
,-0.003,0,-0.063,,,
,-0.003,0,-0.069,,,
,-0.003,0,-0.076,,,
